merchant_id,business_category,business_age,country,monthly_revenue,avg_transaction_value,chargeback_ratio,negative_reviews_ratio,previous_fraud_reports,suspicious_activity_flag,is_fraud
M01284,Services,47,France,191534,1932,0.16,0.24,0,Yes,1
M01285,Electronics,11,USA,129006,910,0.07,0.37,5,No,0
M01286,Retail,1,UK,126242,2233,0.19,0.28,1,Yes,1
M01287,Services,45,India,159198,330,0.0,0.34,3,Yes,1
M01288,Clothing,30,France,167356,1249,0.14,0.35,2,No,0
M01289,Pharmacy,20,France,90304,3619,0.14,0.07,1,No,0
M01290,Pharmacy,19,Brazil,109461,1655,0.27,0.34,5,Yes,1
M01291,Electronics,50,Canada,28612,2949,0.24,0.21,2,Yes,1
M01292,Retail,24,Australia,189469,4326,0.1,0.17,0,No,0
M01293,Clothing,4,Canada,189750,2320,0.27,0.01,2,Yes,1
M01294,Electronics,19,USA,180855,1699,0.06,0.2,6,Yes,1
M01295,Services,31,USA,178038,2809,0.24,0.02,4,No,1
M01296,Electronics,10,Germany,188430,2062,0.16,0.24,1,No,0
M01297,Services,2,USA,129764,2629,0.19,0.23,4,No,0
M01298,Retail,21,UK,139205,4007,0.19,0.05,6,No,1
M01299,Electronics,7,India,137082,2107,0.01,0.01,7,No,1
M01300,Grocery,45,India,175840,4574,0.17,0.11,5,Yes,1
M01301,Retail,26,UK,7173,2191,0.2,0.01,1,No,0
M01302,Pharmacy,24,France,60379,4456,0.11,0.22,4,No,0
M01303,Retail,32,Australia,43150,4145,0.28,0.17,7,Yes,1
M01304,Automotive,6,France,95717,1538,0.02,0.04,6,Yes,1
M01305,Automotive,17,India,190282,1417,0.09,0.07,1,Yes,1
M01306,Grocery,20,Germany,65976,566,0.2,0.1,5,Yes,1
M01307,Electronics,35,Australia,36937,166,0.14,0.05,3,No,0
M01308,Services,50,USA,154172,1670,0.18,0.27,4,Yes,1
M01309,Retail,41,Canada,24508,865,0.17,0.03,10,No,1
M01310,Services,11,France,13736,4886,0.01,0.18,9,Yes,1
M01311,Services,42,France,138536,3486,0.27,0.18,3,No,1
M01312,Services,50,India,97178,1319,0.25,0.38,5,Yes,1
M01313,Pharmacy,4,India,58222,929,0.06,0.26,7,No,1
M01314,Retail,13,UK,123002,3544,0.21,0.23,4,No,1
M01315,Pharmacy,43,UK,10946,4848,0.11,0.14,6,Yes,1
M01316,Automotive,44,Australia,93456,1797,0.04,0.14,6,No,1
M01317,Clothing,22,India,37111,4195,0.17,0.04,1,No,0
M01318,Pharmacy,5,India,46224,2780,0.22,0.05,8,No,1
M01319,Automotive,33,France,69184,1654,0.2,0.26,10,Yes,1
M01320,Retail,48,Germany,95298,109,0.25,0.18,8,No,1
M01321,Clothing,46,USA,162976,2907,0.03,0.19,5,Yes,1
M01322,Electronics,10,USA,120650,3675,0.19,0.29,3,Yes,1
M01323,Pharmacy,34,UK,138247,2786,0.23,0.15,7,Yes,1
M01324,Retail,11,Canada,168141,4734,0.26,0.37,10,No,1
M01325,Automotive,38,Canada,174170,731,0.22,0.31,1,Yes,1
M01326,Grocery,20,UK,18831,3869,0.08,0.07,3,No,0
M01327,Retail,34,USA,108753,4258,0.01,0.19,4,No,0
M01328,Services,22,UK,144319,74,0.27,0.34,7,No,1
M01329,Grocery,30,USA,14759,1319,0.29,0.01,1,No,1
M01330,Automotive,19,Germany,88811,1089,0.22,0.12,5,No,1
M01331,Retail,31,UK,144007,291,0.01,0.3,7,No,1
M01332,Retail,14,India,8712,829,0.29,0.22,5,No,1
M01333,Retail,36,India,172770,1514,0.16,0.14,6,Yes,1
M01334,Services,5,Germany,144221,341,0.2,0.01,3,No,0
M01335,Pharmacy,41,India,27370,3153,0.08,0.37,7,Yes,1
M01336,Automotive,37,Germany,178417,1476,0.06,0.36,10,No,1
M01337,Retail,27,India,85496,1336,0.04,0.15,4,Yes,1
M01338,Retail,8,Canada,89731,2552,0.21,0.32,4,Yes,1
M01339,Electronics,6,UK,161940,3047,0.13,0.31,5,No,0
M01340,Retail,20,UK,45795,388,0.26,0.36,4,Yes,1
M01341,Electronics,21,Brazil,65952,3676,0.03,0.12,0,No,0
M01342,Clothing,14,Germany,19595,2407,0.12,0.07,7,Yes,1
M01343,Electronics,17,France,29669,4728,0.2,0.38,6,Yes,1
M01344,Electronics,26,France,61952,4426,0.01,0.2,10,No,1
M01345,Automotive,25,UK,46527,348,0.28,0.15,6,No,1
M01346,Electronics,16,Germany,182401,1881,0.29,0.35,0,No,1
M01347,Clothing,13,Germany,13046,1680,0.07,0.2,1,Yes,1
M01348,Pharmacy,2,Germany,105799,317,0.2,0.12,5,Yes,1
M01349,Pharmacy,47,Germany,80159,2154,0.15,0.01,0,Yes,1
M01350,Retail,8,Brazil,192507,1026,0.03,0.03,1,No,0
M01351,Clothing,31,Australia,172116,1892,0.2,0.32,8,No,1
M01352,Grocery,17,India,92984,3588,0.03,0.32,6,No,1
M01353,Electronics,46,Brazil,135164,1433,0.06,0.2,3,Yes,1
M01354,Clothing,1,India,21115,929,0.18,0.39,3,No,0
M01355,Services,1,USA,42757,1931,0.11,0.04,10,No,1
M01356,Electronics,6,India,130397,3068,0.17,0.25,4,Yes,1
M01357,Automotive,6,Canada,57907,1946,0.23,0.35,10,Yes,1
M01358,Automotive,49,UK,50427,847,0.08,0.09,7,Yes,1
M01359,Electronics,9,UK,57449,1607,0.26,0.28,7,No,1
M01360,Services,40,UK,21090,2494,0.03,0.18,2,No,0
M01361,Automotive,7,Brazil,79730,1625,0.21,0.01,7,No,1
M01362,Grocery,26,India,82699,1234,0.23,0.04,10,Yes,1
M01363,Automotive,40,UK,198431,482,0.03,0.15,8,Yes,1
M01364,Clothing,41,UK,9608,2036,0.27,0.28,0,No,1
M01365,Services,26,Germany,81136,4833,0.28,0.04,2,Yes,1
M01366,Electronics,15,France,80891,677,0.11,0.08,0,No,0
M01367,Retail,44,India,72242,483,0.06,0.25,0,Yes,1
M01368,Services,2,UK,87117,3562,0.21,0.15,8,Yes,1
M01369,Services,33,UK,36233,2183,0.21,0.01,6,No,1
M01370,Retail,38,Germany,137626,486,0.02,0.34,7,No,1
M01371,Pharmacy,27,Canada,124831,2396,0.19,0.09,10,No,1
M01372,Grocery,31,France,115525,1931,0.18,0.36,1,Yes,1
M01373,Pharmacy,12,USA,192053,1207,0.19,0.07,0,Yes,1
M01374,Grocery,47,UK,105988,2243,0.19,0.18,5,Yes,1
M01375,Automotive,2,USA,15422,1697,0.22,0.36,0,Yes,1
M01376,Grocery,35,Australia,5030,563,0.16,0.32,5,No,0
M01377,Services,8,India,83566,175,0.08,0.18,0,Yes,1
M01378,Electronics,26,USA,27006,3546,0.25,0.25,2,No,1
M01379,Electronics,36,France,198988,4491,0.11,0.33,5,Yes,1
M01380,Electronics,47,USA,76024,4263,0.18,0.09,5,Yes,1
M01381,Automotive,49,Canada,161802,3869,0.27,0.14,9,Yes,1
M01382,Services,15,UK,69936,1028,0.24,0.1,6,No,1
M01383,Automotive,9,France,109115,2890,0.21,0.29,9,No,1
M01384,Clothing,41,India,30391,3924,0.12,0.18,1,Yes,1
M01385,Services,37,Canada,94524,2475,0.09,0.13,4,Yes,1
M01386,Pharmacy,39,Germany,94736,2577,0.13,0.01,3,Yes,1
M01387,Services,36,UK,105064,524,0.24,0.11,1,No,1
M01388,Electronics,14,USA,126537,2613,0.09,0.39,8,Yes,1
M01389,Services,42,Australia,148718,1627,0.2,0.35,6,Yes,1
M01390,Pharmacy,21,UK,53886,1450,0.29,0.18,1,Yes,1
M01391,Services,12,Canada,165857,2514,0.12,0.37,4,No,0
M01392,Grocery,18,Australia,38487,1822,0.04,0.24,5,Yes,1
M01393,Automotive,42,UK,100164,2325,0.19,0.14,2,Yes,1
M01394,Grocery,9,USA,57490,742,0.2,0.17,4,No,0
M01395,Retail,27,Australia,195112,3792,0.23,0.34,4,No,1
M01396,Grocery,32,UK,85367,986,0.16,0.25,7,No,1
M01397,Electronics,12,Brazil,21976,4810,0.1,0.12,9,No,1
M01398,Pharmacy,41,Brazil,57308,3161,0.21,0.37,7,No,1
M01399,Services,46,France,18761,1459,0.26,0.24,4,Yes,1
M01400,Clothing,29,Germany,47746,4844,0.17,0.23,10,Yes,1
M01401,Retail,26,Canada,158412,150,0.08,0.36,3,Yes,1
M01402,Grocery,35,Germany,73052,3409,0.23,0.09,6,No,1
M01403,Grocery,14,France,139124,668,0.23,0.18,2,No,1
M01404,Services,30,Canada,100556,708,0.2,0.28,4,Yes,1
M01405,Electronics,12,UK,101175,1541,0.02,0.33,10,No,1
M01406,Automotive,3,Australia,119390,1457,0.1,0.35,2,Yes,1
M01407,Pharmacy,34,France,38777,1146,0.03,0.2,5,No,0
M01408,Services,47,France,180111,3352,0.08,0.3,0,Yes,1
M01409,Pharmacy,50,UK,103608,4988,0.13,0.36,5,Yes,1
M01410,Automotive,45,Canada,140551,4865,0.28,0.36,4,Yes,1
M01411,Services,23,Germany,65926,4257,0.13,0.16,10,No,1
M01412,Automotive,17,USA,169391,1692,0.13,0.34,9,No,1
M01413,Clothing,3,UK,24843,1157,0.1,0.37,0,No,0
M01414,Pharmacy,22,Canada,122852,3407,0.11,0.37,6,No,1
M01415,Electronics,11,UK,137570,1203,0.27,0.08,9,No,1
M01416,Services,44,UK,166061,4954,0.14,0.01,5,No,0
M01417,Clothing,31,Canada,76254,3887,0.02,0.25,6,Yes,1
M01418,Services,13,Germany,115881,2180,0.19,0.14,6,No,1
M01419,Services,35,Canada,141124,553,0.08,0.07,3,No,0
M01420,Electronics,46,Germany,126162,137,0.27,0.02,3,No,1
M01421,Services,26,France,96394,302,0.1,0.24,0,No,0
M01422,Services,3,USA,105863,3445,0.04,0.36,2,No,0
M01423,Electronics,3,Germany,67895,307,0.26,0.28,7,No,1
M01424,Clothing,26,France,13115,3207,0.21,0.38,8,Yes,1
M01425,Electronics,39,France,72939,1145,0.03,0.38,4,No,0
M01426,Services,37,Brazil,73275,1088,0.24,0.13,6,No,1
M01427,Pharmacy,34,India,33723,3894,0.12,0.34,1,No,0
M01428,Pharmacy,42,France,190544,38,0.21,0.34,5,No,1
M01429,Electronics,35,USA,123828,4609,0.01,0.33,0,Yes,1
M01430,Automotive,36,France,119469,1652,0.13,0.39,1,Yes,1
M01431,Pharmacy,41,USA,70017,2163,0.01,0.06,3,Yes,1
M01432,Automotive,48,Canada,172322,1027,0.27,0.0,1,No,1
M01433,Retail,50,Canada,155571,3903,0.04,0.19,3,Yes,1
M01434,Services,21,Canada,96010,2101,0.15,0.05,10,Yes,1
M01435,Electronics,43,USA,24758,3885,0.14,0.39,2,No,0
M01436,Automotive,33,France,95313,2687,0.02,0.33,4,Yes,1
M01437,Pharmacy,19,Canada,71082,2605,0.2,0.1,3,Yes,1
M01438,Services,38,India,118249,1462,0.09,0.16,4,Yes,1
M01439,Pharmacy,48,Brazil,119164,3161,0.02,0.11,5,Yes,1
M01440,Automotive,37,Australia,169585,4482,0.2,0.01,0,Yes,1
M01441,Services,1,India,186168,2550,0.27,0.32,1,No,1
M01442,Services,24,UK,156618,1926,0.03,0.0,1,No,0
M01443,Pharmacy,21,Germany,161352,1566,0.08,0.04,3,No,0
M01444,Electronics,4,India,183127,1426,0.16,0.08,4,No,0
M01445,Electronics,45,France,54967,3249,0.18,0.09,3,No,0
M01446,Pharmacy,35,UK,143054,721,0.05,0.19,8,Yes,1
M01447,Electronics,5,Brazil,121300,458,0.24,0.04,2,Yes,1
M01448,Services,13,USA,8651,327,0.24,0.13,4,No,1
M01449,Clothing,20,Canada,18758,1651,0.14,0.32,2,No,0
M01450,Electronics,45,USA,101488,2062,0.16,0.16,2,Yes,1
M01451,Pharmacy,38,India,35673,4952,0.21,0.31,5,Yes,1
M01452,Automotive,21,Australia,151234,2558,0.14,0.27,6,No,1
M01453,Services,14,Canada,162080,1130,0.27,0.11,10,Yes,1
M01454,Retail,46,UK,185531,482,0.13,0.05,4,No,0
M01455,Retail,37,France,141899,2123,0.25,0.25,5,No,1
M01456,Electronics,1,UK,198200,2127,0.06,0.09,3,Yes,1
M01457,Retail,15,Germany,190289,4426,0.26,0.29,6,Yes,1
M01458,Pharmacy,42,Canada,39275,1145,0.23,0.18,4,Yes,1
M01459,Services,3,UK,63236,2915,0.05,0.3,7,No,1
M01460,Electronics,11,Germany,183848,4781,0.0,0.09,6,Yes,1
M01461,Clothing,41,UK,142884,1361,0.06,0.36,7,No,1
M01462,Clothing,47,Australia,133358,4168,0.16,0.24,7,Yes,1
M01463,Grocery,14,Australia,92960,3435,0.26,0.05,7,No,1
M01464,Clothing,40,Canada,15660,4798,0.07,0.24,9,Yes,1
M01465,Services,11,France,133119,851,0.05,0.13,1,No,0
M01466,Retail,44,Germany,91097,791,0.2,0.11,7,No,1
M01467,Clothing,50,UK,180510,2512,0.21,0.18,10,No,1
M01468,Pharmacy,22,Canada,15112,4389,0.15,0.18,0,No,0
M01469,Electronics,17,Germany,108925,2877,0.25,0.28,5,No,1
M01470,Grocery,34,UK,80986,813,0.28,0.38,10,Yes,1
M01471,Automotive,27,Canada,144919,1803,0.07,0.05,9,Yes,1
M01472,Services,43,India,152386,4054,0.25,0.23,7,No,1
M01473,Automotive,21,India,41266,1661,0.11,0.1,1,No,0
M01474,Grocery,19,India,88444,4095,0.01,0.09,3,No,0
M01475,Retail,14,UK,172953,3412,0.03,0.27,7,Yes,1
M01476,Services,6,USA,114732,270,0.0,0.12,4,No,0
M01477,Grocery,10,Germany,77667,746,0.03,0.33,0,Yes,1
M01478,Clothing,10,Canada,119776,4607,0.3,0.12,7,Yes,1
M01479,Automotive,8,USA,43516,3842,0.05,0.28,6,Yes,1
M01480,Grocery,6,Canada,62097,3168,0.11,0.28,5,Yes,1
M01481,Retail,39,Brazil,127835,2250,0.22,0.39,5,No,1
M01482,Services,19,Brazil,93545,1637,0.02,0.1,10,No,1
M01483,Clothing,7,Australia,170162,527,0.11,0.11,2,No,0
M01484,Retail,7,Canada,83853,4781,0.0,0.3,10,No,1
M01485,Grocery,9,UK,99326,1405,0.19,0.13,3,Yes,1
M01486,Grocery,2,Australia,171172,2644,0.13,0.22,10,No,1
M01487,Clothing,47,India,33672,4543,0.07,0.13,10,No,1
M01488,Retail,24,UK,24718,2957,0.05,0.19,5,No,0
M01489,Retail,12,USA,74422,403,0.02,0.14,8,Yes,1
M01490,Grocery,32,Germany,170195,1152,0.07,0.32,7,Yes,1
M01491,Automotive,3,Australia,10117,3353,0.28,0.39,10,No,1
M01492,Grocery,49,India,155170,2543,0.19,0.37,7,No,1
M01493,Electronics,46,France,76653,765,0.0,0.18,2,Yes,1
M01494,Automotive,2,France,171800,2490,0.24,0.01,4,No,1
M01495,Pharmacy,3,Brazil,165330,407,0.25,0.07,4,Yes,1
M01496,Clothing,9,Australia,197847,3292,0.29,0.1,7,No,1
M01497,Services,21,Canada,132383,3733,0.07,0.4,9,No,1
M01498,Electronics,3,India,136264,2591,0.14,0.21,7,Yes,1
M01499,Electronics,2,France,128842,3059,0.15,0.32,7,Yes,1
M01500,Retail,15,UK,66856,1617,0.25,0.15,6,No,1
M01501,Electronics,22,Brazil,197008,1502,0.19,0.3,5,Yes,1
M01502,Services,25,Brazil,124287,4329,0.11,0.07,8,No,1
M01503,Grocery,41,Brazil,105889,2026,0.27,0.34,5,Yes,1
M01504,Electronics,3,India,146292,937,0.14,0.03,0,No,0
M01505,Clothing,7,India,157109,1671,0.25,0.09,8,No,1
M01506,Services,49,UK,196882,903,0.09,0.04,9,Yes,1
M01507,Clothing,22,UK,120815,983,0.09,0.16,9,No,1
M01508,Grocery,8,Canada,192236,4057,0.19,0.38,6,Yes,1
M01509,Grocery,18,Brazil,91626,141,0.21,0.27,7,No,1
M01510,Retail,4,USA,173957,2359,0.27,0.16,7,No,1
M01511,Services,32,Brazil,155639,4550,0.03,0.34,6,No,1
M01512,Services,35,Australia,147689,1936,0.14,0.32,4,No,0
M01513,Automotive,42,Brazil,91707,4257,0.15,0.01,4,Yes,1
M01514,Pharmacy,37,Brazil,43957,547,0.02,0.28,1,No,0
M01515,Clothing,38,Canada,93680,4233,0.18,0.24,0,No,0
M01516,Automotive,22,Brazil,148413,2036,0.05,0.3,2,No,0
M01517,Clothing,45,USA,15510,762,0.04,0.19,0,Yes,1
M01518,Grocery,17,Australia,76187,325,0.23,0.34,0,No,1
M01519,Clothing,15,France,54694,2040,0.25,0.26,4,No,1
M01520,Services,6,Canada,80440,3790,0.07,0.2,10,Yes,1
M01521,Clothing,37,Australia,5442,3078,0.3,0.3,8,No,1
M01522,Pharmacy,20,Canada,196438,3505,0.05,0.12,3,Yes,1
M01523,Pharmacy,31,Brazil,84974,3778,0.14,0.31,5,No,0
M01524,Services,29,Germany,24502,438,0.28,0.19,4,Yes,1
M01525,Clothing,49,Brazil,7569,1235,0.22,0.38,2,Yes,1
M01526,Pharmacy,44,France,88875,261,0.11,0.15,10,Yes,1
M01527,Pharmacy,44,Brazil,13545,2057,0.27,0.2,6,No,1
M01528,Automotive,11,Germany,184240,436,0.12,0.03,0,Yes,1
M01529,Retail,45,Brazil,94248,842,0.09,0.09,0,Yes,1
M01530,Grocery,13,Australia,130649,4937,0.09,0.14,6,No,1
M01531,Retail,44,UK,124832,405,0.08,0.09,7,No,1
M01532,Services,2,Canada,8059,1869,0.28,0.24,10,Yes,1
M01533,Clothing,33,UK,33170,3137,0.08,0.36,4,No,0
M01534,Services,10,Canada,93953,1104,0.07,0.32,7,Yes,1
M01535,Clothing,31,Canada,65449,3127,0.13,0.01,8,Yes,1
M01536,Electronics,37,Brazil,134436,1859,0.01,0.12,4,No,0
M01537,Pharmacy,19,France,68577,906,0.17,0.37,8,Yes,1
M01538,Automotive,36,UK,18206,4150,0.11,0.33,4,No,0
M01539,Grocery,6,France,25799,1494,0.2,0.3,2,Yes,1
M01540,Pharmacy,30,India,98942,4788,0.07,0.03,4,Yes,1
M01541,Retail,16,Australia,40453,713,0.15,0.01,1,No,0
M01542,Grocery,19,Germany,30905,881,0.01,0.31,7,No,1
M01543,Grocery,38,India,113670,4715,0.19,0.29,6,No,1
M01544,Clothing,33,France,87647,3070,0.16,0.17,6,Yes,1
M01545,Services,44,Canada,106392,1957,0.13,0.18,3,No,0
M01546,Clothing,11,USA,36147,1260,0.25,0.27,3,Yes,1
M01547,Retail,49,Germany,48200,1757,0.02,0.35,10,No,1
M01548,Electronics,14,UK,107088,2092,0.22,0.01,6,No,1
M01549,Electronics,24,USA,188245,3275,0.14,0.23,7,Yes,1
M01550,Electronics,8,India,12427,2682,0.05,0.24,5,No,0
M01551,Pharmacy,44,UK,18393,201,0.17,0.29,2,Yes,1
M01552,Electronics,12,UK,154858,4864,0.03,0.07,8,Yes,1
M01553,Clothing,18,USA,96401,3635,0.29,0.02,0,Yes,1
M01554,Pharmacy,26,India,190386,519,0.04,0.08,3,Yes,1
M01555,Electronics,49,Germany,47573,4597,0.28,0.36,9,No,1
M01556,Clothing,33,India,166527,4837,0.22,0.06,10,Yes,1
M01557,Electronics,37,France,61170,4318,0.25,0.04,9,No,1
M01558,Retail,31,Brazil,33032,2630,0.23,0.04,8,No,1
M01559,Services,13,Canada,175836,1904,0.06,0.3,9,Yes,1
M01560,Electronics,33,India,92184,656,0.17,0.11,2,No,0
M01561,Grocery,22,India,156183,38,0.09,0.36,6,Yes,1
M01562,Grocery,37,Brazil,152223,4351,0.08,0.01,7,No,1
M01563,Automotive,11,UK,170106,260,0.03,0.14,3,Yes,1
M01564,Electronics,23,India,178264,4783,0.23,0.33,3,Yes,1
M01565,Pharmacy,29,India,9195,1480,0.17,0.19,8,No,1
M01566,Pharmacy,26,Germany,127364,2644,0.11,0.28,4,Yes,1
M01567,Automotive,8,Germany,75669,1089,0.01,0.2,4,No,0
M01568,Services,41,Germany,7384,3314,0.09,0.24,3,Yes,1
M01569,Retail,50,UK,12247,2585,0.1,0.36,3,Yes,1
M01570,Electronics,25,France,162152,2817,0.11,0.11,4,Yes,1
M01571,Services,8,Australia,64050,1936,0.21,0.04,6,Yes,1
M01572,Automotive,6,Canada,35218,4136,0.08,0.18,10,No,1
M01573,Retail,18,Brazil,112769,2623,0.28,0.23,4,Yes,1
M01574,Electronics,12,Germany,196969,3822,0.26,0.03,9,No,1
M01575,Pharmacy,24,Australia,12536,4315,0.03,0.14,3,No,0
M01576,Pharmacy,26,France,172098,3962,0.3,0.31,3,Yes,1
M01577,Pharmacy,24,Brazil,141837,4663,0.02,0.27,2,No,0
M01578,Clothing,31,Brazil,165532,105,0.25,0.35,5,No,1
M01579,Automotive,47,Brazil,133154,2855,0.27,0.31,10,No,1
M01580,Grocery,32,India,81856,4392,0.24,0.31,2,Yes,1
M01581,Grocery,33,Australia,135606,4834,0.04,0.03,5,Yes,1
M01582,Electronics,21,Brazil,29811,2864,0.02,0.13,8,No,1
M01583,Pharmacy,17,Brazil,184647,2742,0.02,0.06,9,No,1
M01584,Automotive,23,Brazil,171094,750,0.06,0.17,0,Yes,1
M01585,Automotive,6,USA,142810,4682,0.29,0.24,9,Yes,1
M01586,Pharmacy,39,India,170466,369,0.26,0.29,6,Yes,1
M01587,Electronics,11,Brazil,99225,470,0.11,0.25,8,No,1
M01588,Pharmacy,42,UK,32884,4509,0.26,0.05,7,No,1
M01589,Pharmacy,1,India,9448,2564,0.08,0.23,9,Yes,1
M01590,Pharmacy,22,France,152339,1779,0.04,0.01,10,No,1
M01591,Clothing,8,Brazil,76946,2421,0.11,0.14,1,Yes,1
M01592,Clothing,33,Canada,157514,4222,0.15,0.03,3,No,0
M01593,Retail,42,Canada,8710,2045,0.07,0.01,10,No,1
M01594,Automotive,29,Canada,75555,3353,0.3,0.12,3,Yes,1
M01595,Services,50,USA,77219,1127,0.24,0.21,0,No,1
M01596,Clothing,2,Canada,123992,740,0.22,0.26,9,Yes,1
M01597,Services,33,France,77801,3339,0.26,0.27,1,No,1
M01598,Automotive,1,France,109044,2902,0.01,0.14,10,Yes,1
M01599,Services,23,India,115819,80,0.01,0.23,10,No,1
M01600,Grocery,13,Brazil,81523,3502,0.13,0.02,8,No,1
M01601,Retail,15,USA,71121,2636,0.1,0.07,3,Yes,1
M01602,Pharmacy,5,India,135921,1790,0.17,0.38,7,No,1
M01603,Retail,45,Canada,193493,4392,0.2,0.34,1,Yes,1
M01604,Grocery,44,Canada,46534,2939,0.27,0.21,6,No,1
M01605,Clothing,25,India,193431,3979,0.07,0.23,3,Yes,1
M01606,Grocery,43,USA,45301,2888,0.06,0.28,3,Yes,1
M01607,Retail,4,Brazil,54431,3506,0.28,0.28,0,Yes,1
M01608,Electronics,19,Brazil,48651,2027,0.03,0.19,9,No,1
M01609,Electronics,7,UK,93789,3408,0.0,0.03,1,Yes,1
M01610,Electronics,49,Canada,141632,2192,0.25,0.18,2,Yes,1
M01611,Electronics,19,USA,61286,2981,0.18,0.33,2,Yes,1
M01612,Electronics,33,France,94901,2131,0.08,0.39,6,No,1
M01613,Pharmacy,8,Brazil,19797,3077,0.09,0.11,8,No,1
M01614,Clothing,45,Canada,94751,3822,0.08,0.15,8,Yes,1
M01615,Services,7,Canada,106809,1861,0.12,0.03,0,Yes,1
M01616,Clothing,7,France,193365,3456,0.22,0.1,10,Yes,1
M01617,Pharmacy,34,France,57127,4387,0.07,0.25,7,Yes,1
M01618,Clothing,5,USA,128658,2571,0.1,0.09,2,No,0
M01619,Automotive,20,Germany,17930,1029,0.28,0.07,10,Yes,1
M01620,Electronics,13,Australia,125632,4713,0.14,0.02,2,No,0
M01621,Grocery,35,India,119505,3900,0.1,0.2,8,No,1
M01622,Pharmacy,10,USA,87921,2139,0.08,0.16,3,Yes,1
M01623,Electronics,38,USA,147989,3563,0.22,0.02,8,No,1
M01624,Electronics,5,USA,64925,401,0.08,0.35,7,No,1
M01625,Automotive,49,France,188977,434,0.17,0.17,7,Yes,1
M01626,Services,48,Germany,45635,4176,0.19,0.29,0,No,0
M01627,Automotive,30,France,162621,1198,0.29,0.4,2,Yes,1
M01628,Services,6,Australia,93356,3706,0.14,0.01,7,Yes,1
M01629,Clothing,27,USA,91931,2543,0.0,0.11,2,No,0
M01630,Grocery,28,USA,38156,4341,0.06,0.08,3,No,0
M01631,Automotive,9,UK,9449,3667,0.05,0.02,10,No,1
M01632,Electronics,48,Australia,97592,4399,0.11,0.09,9,No,1
M01633,Automotive,34,Australia,199120,1682,0.12,0.02,7,Yes,1
M01634,Automotive,34,India,41215,2199,0.1,0.16,1,No,0
M01635,Pharmacy,33,USA,68572,4710,0.27,0.08,3,No,1
M01636,Services,34,UK,66305,2279,0.05,0.1,7,No,1
M01637,Clothing,28,India,31900,4319,0.17,0.0,8,Yes,1
M01638,Retail,32,USA,97487,213,0.13,0.24,4,Yes,1
M01639,Retail,39,Canada,98087,775,0.22,0.22,1,Yes,1
M01640,Services,5,France,114104,2205,0.17,0.07,4,No,0
M01641,Electronics,47,USA,147842,711,0.25,0.15,10,No,1
M01642,Clothing,19,UK,106285,3106,0.23,0.37,4,Yes,1
M01643,Pharmacy,40,UK,23777,2672,0.0,0.37,5,No,0
M01644,Pharmacy,44,Canada,11907,2883,0.22,0.02,2,Yes,1
M01645,Electronics,4,Australia,92747,1800,0.08,0.38,0,No,0
M01646,Pharmacy,13,UK,23813,3763,0.27,0.02,9,Yes,1
M01647,Clothing,31,India,119537,1638,0.25,0.29,3,No,1
M01648,Retail,2,India,80055,4586,0.12,0.17,3,No,0
M01649,Automotive,34,Germany,190242,106,0.16,0.16,6,Yes,1
M01650,Pharmacy,4,Canada,191393,1856,0.04,0.15,0,No,0
M01651,Grocery,26,Australia,64729,3087,0.23,0.3,7,No,1
M01652,Clothing,44,Australia,148854,603,0.28,0.22,8,Yes,1
M01653,Grocery,5,India,161592,4286,0.16,0.13,6,Yes,1
M01654,Automotive,27,Germany,60657,608,0.23,0.0,10,No,1
M01655,Automotive,5,Germany,113854,364,0.26,0.28,0,Yes,1
M01656,Grocery,48,France,89570,4072,0.25,0.15,4,Yes,1
M01657,Electronics,33,India,105040,3351,0.14,0.25,2,No,0
M01658,Electronics,50,UK,33925,1125,0.07,0.05,5,Yes,1
M01659,Pharmacy,31,USA,52335,2442,0.01,0.32,4,No,0
M01660,Pharmacy,15,Canada,121615,2173,0.22,0.38,8,No,1
M01661,Automotive,40,Australia,168430,3051,0.21,0.19,4,No,1
M01662,Services,41,Australia,27446,3599,0.16,0.23,10,No,1
M01663,Grocery,11,India,125716,4544,0.07,0.38,0,Yes,1
M01664,Automotive,40,Germany,71356,743,0.22,0.24,2,Yes,1
M01665,Electronics,17,Brazil,106064,4706,0.03,0.14,5,No,0
M01666,Clothing,8,Germany,94856,3386,0.13,0.36,5,No,0
M01667,Electronics,28,Canada,73947,3090,0.06,0.13,7,Yes,1
M01668,Retail,13,Canada,150504,3155,0.11,0.15,1,No,0
M01669,Automotive,30,USA,80188,4977,0.1,0.12,4,No,0
M01670,Grocery,24,France,58134,4512,0.18,0.33,9,Yes,1
M01671,Clothing,16,Australia,69205,457,0.17,0.22,2,No,0
M01672,Pharmacy,8,Australia,101575,1350,0.17,0.19,10,Yes,1
M01673,Electronics,18,Australia,13996,1407,0.3,0.09,9,Yes,1
M01674,Grocery,14,Canada,45115,4681,0.13,0.11,2,No,0
M01675,Grocery,17,Germany,92798,4026,0.03,0.35,10,Yes,1
M01676,Automotive,46,France,65282,1797,0.07,0.12,5,No,0
M01677,Grocery,32,Brazil,123173,2392,0.16,0.13,4,Yes,1
M01678,Clothing,9,India,27224,3475,0.13,0.01,5,No,0
M01679,Retail,8,France,118730,500,0.13,0.27,7,Yes,1
M01680,Clothing,34,UK,69710,4758,0.17,0.37,2,No,0
M01681,Retail,45,France,51380,2429,0.26,0.33,4,Yes,1
M01682,Grocery,11,India,50181,781,0.2,0.31,6,No,1
